lines_of_code,cyclomatic_complexity,number_of_functions,number_of_classes,depth_of_inheritance,coupling_between_objects,lack_of_cohesion,number_of_parameters,number_of_variables,number_of_comments,code_duplication,test_coverage,code_churn,developer_experience,module_age_days,has_bug,module_name
450,9,20,5,0,9,1,4,20,48,0.20010236707632473,0.5635628457347699,20,7.482142683506084,348,0,module_062
536,10,23,5,4,8,5,3,11,42,0.14820652672235124,0.6128449042857873,16,1.3298160143721607,344,1,module_063
473,11,20,2,4,5,2,5,11,60,0.22567567684862128,0.5930834728511059,21,7.888417383867868,347,0,module_064
511,11,28,5,3,7,2,4,16,47,0.057519101022632246,0.829633032731464,18,1.1799459280750897,341,1,module_065
482,9,21,3,1,6,3,1,12,54,0.11008891259113847,0.949563265570909,21,5.655499326633928,348,0,module_066
491,10,20,3,1,11,4,4,19,54,0.2665492645648635,0.6440190778126049,17,6.161290364351471,393,1,module_067
509,15,21,5,4,12,4,4,17,44,0.28071436380855996,0.8829136500477579,18,7.851191136650117,387,1,module_068
464,10,20,4,1,10,2,2,13,48,0.2765187464967515,0.8123611749985671,17,7.8492594100673525,341,0,module_069
488,6,12,3,3,7,1,6,10,42,0.24549151326022875,0.5314765498895337,20,4.757099012586155,371,0,module_070
512,6,25,4,1,12,5,2,13,40,0.20647076357936758,0.7111196701685834,22,1.5973525980859118,394,0,module_071
501,8,15,2,3,10,4,2,10,44,0.2741033682082391,0.7667709725109861,20,7.241501374982355,355,0,module_072
509,16,24,6,2,7,5,2,15,48,0.2142544775497917,0.3164495603233241,15,5.598874066531764,381,1,module_073
513,10,21,7,2,11,3,1,19,50,0.28618087461764813,0.5771688858569681,23,3.9975261099679136,364,1,module_074
544,11,8,3,3,10,3,2,15,53,0.007436499611066538,0.9948467230932196,17,3.1138640447769137,380,1,module_075
490,8,25,5,3,4,2,2,13,57,0.27649262576837313,0.7460794989490654,21,2.077823917994282,368,0,module_076
540,13,25,4,2,6,3,4,15,42,0.16672216084181243,0.5339708485042433,9,3.6562824748774476,343,1,module_077
483,10,19,6,1,12,1,2,18,62,0.03353932554613748,0.47501682758050945,22,5.126406626127637,381,1,module_078
523,13,19,6,1,8,2,4,9,66,0.0644733809211884,0.44663712147052936,20,5.29848251361327,356,1,module_079
502,7,21,2,2,14,4,4,13,47,0.25564778517447406,0.5811489862756452,17,6.244650382733075,345,0,module_080
465,14,17,2,2,6,2,5,10,53,0.1518350864539548,0.43528598342532665,21,4.2622171241864555,346,1,module_081
534,9,18,5,3,13,5,5,13,62,0.294845317048571,0.39463032743746973,27,9.279080823149169,392,1,module_082
489,12,21,2,0,7,4,4,20,51,0.035259332851491305,0.5548442990988712,18,5.462826517743562,329,1,module_083
515,12,17,7,4,15,2,6,10,52,0.12375103917003874,0.7248997848520553,23,4.8135253610661,361,1,module_084
532,8,19,4,3,12,4,4,12,37,0.09956233292422802,0.4024794274602898,22,1.4335117151633476,340,1,module_085
509,13,24,5,0,15,1,2,15,49,0.15484063081947652,0.33104029170400207,18,6.3911357391959545,355,1,module_086
475,8,11,7,2,2,4,5,18,49,0.19003134566091553,0.32424297264458407,14,6.425820424600467,364,0,module_087
507,12,27,5,0,10,2,6,19,46,0.19848884081449633,0.4871689767051778,18,6.249606670276327,341,1,module_088
466,11,21,7,2,3,7,4,15,43,0.0003887639735334125,0.43309260336141114,20,8.988372258473984,398,0,module_089
503,14,18,1,1,6,3,4,14,53,0.026688130134470377,0.6774787522031066,23,7.86610749330361,375,1,module_090
510,5,21,3,4,7,2,6,15,43,0.010519150096785567,0.6190041309356296,16,8.80665057633184,386,0,module_091
514,4,13,4,1,9,6,4,16,33,0.25937974391948315,0.527336630037313,15,1.5348030121893763,355,0,module_092
488,9,32,9,0,5,1,3,19,47,0.09398767594789667,0.8834799839056724,16,3.8631378902935776,349,0,module_093
510,8,21,4,2,10,2,5,9,64,0.1101190325629093,0.6534628950975685,15,3.868407493252342,376,1,module_094
510,10,21,5,2,10,4,3,17,52,0.1351113746840078,0.3640709944588694,26,6.91340551991758,378,1,module_095
465,4,21,6,1,7,7,1,19,47,0.25479131917607273,0.5070350478515867,14,5.0375354383405915,361,0,module_096
484,3,19,6,2,10,5,2,16,60,0.004249878288640474,0.9813374863376141,16,7.997253429268376,371,0,module_097
532,9,22,3,3,10,2,3,16,59,0.03558548231395512,0.98388412453061,17,4.459875099901253,394,1,module_098
521,7,17,3,2,7,4,5,13,47,0.2055489366422701,0.4782701448829835,15,2.994468195811679,364,0,module_099
505,9,27,5,1,11,5,3,16,42,0.28916775681227913,0.4170652901564397,23,3.6185596146485057,366,1,module_100
478,8,22,7,0,10,2,4,15,60,0.19283592638910227,0.646981702352071,13,2.6422275353573292,347,1,module_101
485,7,15,6,2,4,2,3,21,53,0.07833704054025696,0.6370254427167925,24,2.7810342258661,376,0,module_102
509,9,20,6,2,12,1,3,15,53,0.1559593286359852,0.587096381088312,15,2.951550238875863,369,1,module_103
537,6,22,4,1,7,1,4,8,53,0.2924941426744303,0.670550059245767,21,1.1448524035650207,360,0,module_104
495,10,18,7,3,6,3,5,15,52,0.15842296397033725,0.46253676496274054,15,7.444792312862909,396,0,module_105
486,11,16,4,1,5,4,6,14,51,0.11205228891846071,0.380450539080581,15,4.59642108044022,357,0,module_106
527,7,16,8,4,10,2,5,12,48,0.11502766645161609,0.6993230209335045,16,1.2040419869364603,372,0,module_107
476,10,19,5,3,9,1,4,9,55,0.2901100525775192,0.9528185977476624,16,4.330067900192562,353,0,module_108
544,6,19,5,4,8,1,5,9,61,0.21567495801951173,0.3964244936342085,19,9.148313144038708,345,0,module_109
504,8,26,4,3,11,5,3,13,46,0.20615185668661415,0.7933703069620237,24,5.601198852707003,373,0,module_110
472,8,20,5,0,13,1,6,6,50,0.06961629650722403,0.6065276811662694,11,9.880768102117155,379,0,module_111
530,11,18,2,3,9,2,1,14,55,0.1678453913290723,0.5057836128101628,19,5.859634886902506,390,1,module_112
513,12,22,3,1,5,2,2,12,42,0.10702355955669403,0.8971764528746979,24,9.665190991459577,362,0,module_113
491,3,29,7,0,10,1,4,14,56,0.07206045775618494,0.6195441861760274,35,2.8162065592397143,350,0,module_114
522,12,18,5,2,7,4,5,13,45,0.26866568580423134,0.7083184098475931,14,3.6094133144743084,367,1,module_115
501,14,16,6,3,9,2,3,15,55,0.11494674262878403,0.6101394008579506,20,7.299730991617853,376,1,module_116
521,7,23,7,3,5,2,4,10,54,0.08483614874141933,0.35687470716868697,23,9.881394552995019,361,0,module_117
513,8,18,2,0,8,2,2,19,40,0.2795161189825104,0.7164332808301301,29,8.427676699174384,362,0,module_118
532,9,22,7,0,5,4,4,15,54,0.059203918936837616,0.5931886825266848,24,5.98334749008176,382,0,module_119
492,14,24,5,3,7,8,5,17,55,0.2236514354149568,0.3607296242473408,17,1.7663735292302376,353,1,module_120
505,9,26,5,2,6,2,6,16,51,0.1958241433392788,0.7170682140932825,31,4.279411989998145,340,0,module_121
498,5,30,7,5,11,3,4,12,40,0.27614532851168566,0.30690965242745927,19,1.7778313053693156,372,1,module_122
486,10,18,6,3,8,3,7,21,56,0.24961414127018344,0.44596427177821457,21,3.80153225679854,349,1,module_123
431,11,18,5,1,9,0,4,11,43,0.21158856538189244,0.8467486758336487,19,3.329128905987921,384,1,module_124
523,12,19,0,1,11,3,2,13,63,0.09437149820912868,0.3265491974011141,15,4.496997669730465,359,1,module_125
470,17,16,7,1,13,3,1,13,59,0.14867070338116475,0.7526774686385971,25,8.53548930990927,380,1,module_126
519,8,17,5,2,14,7,2,21,47,0.2833487284041539,0.9647948623451268,19,2.3533900417934213,347,1,module_127
508,13,15,5,0,11,3,2,14,58,0.006960789174448056,0.4198347207211047,19,3.754575539682468,391,1,module_128
450,3,19,6,4,12,2,2,18,49,0.23829954714601168,0.5919783021467022,29,3.350055198894468,381,0,module_129
503,17,21,8,0,5,0,2,19,45,0.0755431051361638,0.7028483881596987,22,3.6652748242321707,358,1,module_130
501,9,15,4,2,9,5,3,20,58,0.05550508298813751,0.615291087113691,20,4.24561127326383,335,0,module_131
521,7,22,6,2,8,2,6,11,63,0.06966738432669586,0.7342643803272371,19,3.198805749402746,365,0,module_132
496,9,23,4,1,4,2,2,15,64,0.017925297449054144,0.5828682676168987,28,9.483231450008109,355,0,module_133
525,13,20,1,1,7,3,9,21,39,0.2975939472858503,0.4039528903153443,24,4.780915425213891,352,1,module_134
494,7,23,3,3,5,2,3,17,60,0.26096074296754346,0.36233105187711895,20,2.0270193867754136,365,0,module_135
474,10,20,4,2,15,1,3,20,44,0.15631679058966821,0.821110209324001,21,5.208927490245888,368,1,module_136
503,7,23,5,5,8,5,5,10,46,0.21453095356712756,0.46703676466533334,19,2.6598871167522287,382,0,module_137
510,11,19,4,1,8,2,2,14,45,0.1669786088770523,0.8932152189367064,26,2.9451757825118796,377,1,module_138
503,6,23,5,4,10,2,8,18,49,0.24347368333524969,0.8201190706752883,16,3.5653727588034942,379,0,module_139
495,12,26,2,2,7,4,6,18,53,0.2534295574671034,0.3346172290396532,22,2.1228387042335206,386,1,module_140
491,11,12,2,2,9,1,3,14,48,0.06983712844596038,0.4408477819446146,11,7.49007039322,359,1,module_141
447,12,19,5,2,10,1,2,16,51,0.13792433119507372,0.5043948595916767,17,8.127518272581241,342,1,module_142
527,15,16,5,4,11,3,2,12,58,0.19045432025687128,0.7161375741782281,20,4.5485642972404,339,1,module_143
498,9,21,5,0,3,1,4,11,48,0.2935322491824825,0.8668789002205972,16,7.200932854901907,370,0,module_144
499,5,17,6,1,10,2,11,14,38,0.2048068137288494,0.3422332786108962,26,4.50058861153626,371,0,module_145
476,8,26,4,1,9,5,4,10,47,0.26929050322324716,0.4747262663158676,22,2.4766959127272754,353,0,module_146
493,8,15,9,3,8,3,6,17,43,0.2538336152961263,0.5633468336658046,24,4.574512551981505,349,0,module_147
509,6,17,7,1,4,2,1,16,47,0.17461891910356922,0.4283640082117164,18,6.012886559334755,380,0,module_148
492,10,20,2,1,8,1,5,13,49,0.26809660801856666,0.6817044682544444,13,1.3689488266920002,383,1,module_149
500,10,15,3,3,8,4,5,16,48,0.11322651834757032,0.6346017355508171,31,6.890359516141332,381,1,module_150
510,18,29,4,2,4,5,5,13,61,0.11378505913449342,0.5215469494358119,16,7.68347172104307,363,1,module_151
459,12,19,6,6,8,3,2,11,50,0.23428969297280067,0.6618208208442498,19,8.739732319377051,366,1,module_152
545,6,13,7,4,5,6,5,14,49,0.040363099690503286,0.5490750950457797,19,1.9249350422437628,367,0,module_153
493,6,17,4,1,5,5,5,20,43,0.09174756523752568,0.5402358472271035,21,1.0008423447244512,395,0,module_154
497,13,9,5,1,8,4,5,7,50,0.18257173526200268,0.4857768677498947,23,1.659397321199461,384,1,module_155
546,8,24,5,1,10,4,4,12,44,0.12601967966008457,0.6783065540200717,25,9.317051234074974,375,0,module_156
478,14,20,3,2,5,2,4,19,45,0.28221711296646856,0.6108807761166288,15,7.8900014893713495,367,1,module_157
466,13,19,3,2,9,3,4,16,50,0.28755182088574094,0.4374273488890566,28,8.518920820850504,366,1,module_158
465,9,24,7,7,6,6,4,23,49,0.15077439264413675,0.30907638262873943,24,5.653124174493751,381,0,module_159
459,4,19,3,3,8,3,2,10,52,0.1617185671097044,0.40565067842904357,29,5.740478871074878,381,0,module_160
526,7,20,8,1,12,1,2,16,41,0.21738812754713135,0.32998422104897746,21,3.6865503085526607,384,1,module_161
523,12,18,8,1,10,5,5,21,41,0.13717947757025203,0.6021191835469024,27,8.584777467713474,354,1,module_162
469,16,20,5,1,4,3,5,17,51,0.057029540382143036,0.4575677977386508,14,8.46792624775406,390,1,module_163
508,18,14,5,1,10,1,6,15,57,0.22409075058687922,0.5943187327673072,29,4.529542111499453,396,1,module_164
516,9,17,3,2,12,2,4,17,51,0.22133576680589948,0.5306149113590062,18,3.9634036342432646,362,1,module_165
485,7,11,3,2,6,2,5,19,55,0.07349433101753385,0.6766103674805968,10,7.645359441277224,354,0,module_166
517,11,12,6,1,8,1,2,14,47,0.24987495593430226,0.8067067801520205,27,1.2355132450414037,355,1,module_167
492,11,19,5,3,4,4,6,16,51,0.18409475892604824,0.6355197566936994,24,8.73954008666549,378,0,module_168
489,13,17,4,1,10,3,0,16,59,0.07089048309460963,0.34337764265739157,22,5.016231903827556,351,1,module_169
527,9,13,6,0,8,5,5,16,42,0.19561174325061126,0.31225733699043556,17,4.972098218885748,374,1,module_170
517,7,18,3,2,12,2,3,19,33,0.07008285788716823,0.44926181639427737,26,7.021700626486552,367,0,module_171
467,15,27,12,5,9,2,2,12,57,0.07956988622400533,0.5974772578545976,16,6.8117442427947825,362,1,module_172
500,10,13,1,2,4,1,8,17,51,0.25440279204094685,0.3314335200390871,12,3.3937665945073006,334,0,module_173
488,12,31,6,2,7,5,4,13,58,0.27884747077194566,0.5294136633879223,20,9.48950744062687,381,1,module_174
493,6,19,1,1,6,4,6,12,48,0.07706479750746333,0.9209179955266067,24,9.8769698139939,393,0,module_175
535,11,17,6,3,10,3,4,16,53,0.27841531112555573,0.36301331529651854,21,5.733901128665665,372,1,module_176
488,10,20,1,1,10,5,2,14,54,0.07163965395070605,0.9639615568387014,17,6.052427183533124,336,0,module_177
551,10,25,4,1,13,2,7,18,54,0.03518020966277569,0.8996702428563836,21,5.988861670812613,399,1,module_178
508,4,21,3,2,11,4,5,12,41,0.01746716342137835,0.8822468092094771,26,5.372086673604349,345,0,module_179
486,13,21,3,3,16,1,2,18,58,0.07263397224978999,0.9045609576134037,23,9.50668348310043,363,1,module_180
511,10,21,5,1,6,0,5,20,35,0.11557396220317058,0.35603518567708814,12,3.20277204079671,343,0,module_181
521,9,24,5,4,9,3,13,17,45,0.2782645140327914,0.4058176657850877,25,1.9716235862985014,368,1,module_182
464,14,18,5,3,16,3,2,14,49,0.0726473999118086,0.3940606985927575,20,9.36592555892348,356,1,module_183
453,18,19,9,3,9,6,3,18,50,0.109639603485268,0.37786926752596317,15,2.9173448279003744,362,1,module_184
496,11,20,3,2,7,2,4,8,46,0.2202467624230716,0.5293978536725604,19,7.742398181878774,370,0,module_185
490,9,21,3,4,3,4,6,15,44,0.09062222639618446,0.881151818065369,28,2.834859783089036,366,0,module_186
473,16,25,6,3,3,2,6,18,56,0.20531044550387414,0.47637350054186045,14,9.64167414060123,400,1,module_187
508,13,16,6,2,6,1,1,9,34,0.12962334577455073,0.470955175294582,17,8.120095933035785,351,1,module_188
462,10,17,3,3,4,5,2,12,53,0.05893348579775168,0.7731221301944293,25,9.26846354903373,355,0,module_189
459,7,22,7,2,15,4,4,11,48,0.22021767029074082,0.36784757149570196,15,9.558863381004931,356,0,module_190
514,12,21,4,1,11,1,3,24,41,0.008111650007005233,0.5521959946533468,16,1.759819458420998,370,1,module_191
492,11,14,1,2,9,2,5,14,50,0.08770044752189367,0.5067984147909547,12,4.900499702424527,384,1,module_192
492,10,26,7,4,5,5,6,17,44,0.10685446175051361,0.8931106048905948,15,6.8329030332547855,371,0,module_193
519,16,23,7,3,13,1,5,20,45,0.1374654764962908,0.6601508943378219,24,8.222104937136077,395,1,module_194
495,11,13,2,5,8,3,4,12,42,0.2039607695928418,0.7525314948853586,21,3.173245699729622,378,1,module_195
468,8,19,5,2,4,5,4,18,34,0.13782149825581105,0.39032403674436467,25,9.231443734503596,373,0,module_196
453,12,31,6,0,10,2,3,14,36,0.1782972336858649,0.9502427823891371,18,2.9887869618832115,386,1,module_197
469,9,18,9,1,11,2,5,11,40,0.1787337235253452,0.5257165078875732,21,8.795587613866179,362,0,module_198
517,10,32,3,1,6,3,6,13,47,0.1119814949688023,0.794787186490213,18,5.61441321697771,371,0,module_199
560,5,17,4,0,11,2,2,11,44,0.2801913797264095,0.9682383259408804,23,5.638799546831708,374,0,module_200
486,9,23,10,0,7,3,6,13,52,0.2867561492629328,0.6560542031312018,18,4.3660505393379205,341,0,module_201
460,13,23,4,4,4,2,3,12,46,0.17455526522833975,0.6552746811136989,22,1.9315470827682146,355,1,module_202
508,9,10,4,2,5,4,3,15,56,0.021507264088629574,0.38207459649091635,16,4.123810568075843,369,0,module_203
497,11,18,4,4,6,3,4,16,50,0.1473382692767807,0.5731928894961904,23,4.840630434842257,387,1,module_204
505,13,20,7,1,6,4,1,16,46,0.05532579803820215,0.8967254572170749,15,5.311189508976736,361,1,module_205
446,11,15,8,1,9,5,4,17,52,0.1449643565618711,0.3945745549692638,17,7.651857613691201,376,1,module_206
497,11,19,6,1,8,3,0,14,54,0.05654494634956254,0.9422528913924602,24,4.168630994185528,383,1,module_207
485,5,22,6,6,7,1,3,16,37,0.2111565736946653,0.7671165900706596,21,4.659335742825878,372,0,module_208
498,7,21,3,2,8,1,4,22,46,0.02412873601990275,0.5946718845413268,15,9.154887420899074,353,0,module_209
505,2,22,5,2,10,2,4,11,48,0.2859912229187772,0.6825488929679601,15,7.773105651702361,349,0,module_210
513,14,21,6,3,9,3,2,11,42,0.05861276683000581,0.40534762541569064,18,1.205701925534124,358,1,module_211
487,17,16,2,6,7,5,6,16,53,0.19819690081477362,0.4522383051964116,19,8.308798819507338,335,1,module_212
512,9,19,8,4,9,2,4,16,59,0.2750887052188468,0.500485898946671,16,9.909495319153233,394,0,module_213
536,10,12,5,2,16,1,5,9,54,0.07436589419521873,0.5693922827220901,22,9.457909672310397,397,1,module_214
550,8,18,4,1,5,7,5,6,58,0.280289069711139,0.9408653964950893,16,8.523603095464807,386,0,module_215
507,15,21,4,2,7,5,3,19,50,0.11660239969808178,0.5572983174756099,14,6.662563726035405,352,1,module_216
542,13,17,2,2,12,2,2,16,58,0.288159245175777,0.6666846682703547,23,3.503729099487349,360,1,module_217
446,10,16,5,1,8,2,5,19,46,0.29140915744035767,0.41341831299248955,17,6.889875502420867,325,0,module_218
492,11,23,5,0,8,2,3,11,45,0.05642397152077193,0.8151812407364494,24,7.260332237882779,375,0,module_219
506,8,18,4,0,8,2,12,10,38,0.2493262010793163,0.692196594346691,21,3.534023449276035,337,0,module_220
525,7,24,2,1,15,1,5,19,50,0.05802630385006508,0.6079352205883604,16,3.297966619675957,327,1,module_221
494,10,12,4,2,7,3,2,14,60,0.06793218609932447,0.9630305258907355,30,4.572314731830433,352,1,module_222
526,8,17,4,4,7,2,4,10,51,0.025237951207019483,0.9234555908992856,10,6.770322721301816,362,0,module_223
497,13,25,1,0,7,6,5,15,59,0.046961083949453385,0.761657890641148,20,3.637560423541365,371,1,module_224
553,10,23,8,4,6,6,6,9,50,0.18966569047413237,0.9452686843095688,18,6.000998699606803,341,0,module_225
481,9,18,4,5,7,2,1,15,50,0.13477581901553592,0.6953472564531508,28,9.093136616687644,372,0,module_226
508,6,24,10,2,8,5,3,11,57,0.2372832711506505,0.8788560062006867,21,3.6559029239132457,336,0,module_227
468,10,25,6,1,13,1,6,11,46,0.09959904444798663,0.5866221149296303,11,9.693763625147605,374,0,module_228
501,20,19,3,2,10,3,6,17,50,0.29058737019031766,0.3607209339435633,18,5.260131808058941,361,1,module_229
501,8,16,6,1,9,5,3,12,61,0.014961762245812393,0.9959040126703766,20,1.9081750388130452,360,0,module_230
503,7,21,4,1,10,2,4,18,49,0.018880786320732444,0.4159420645786007,23,1.495354543566163,355,1,module_231
530,7,15,3,2,7,2,2,17,52,0.21041246964544083,0.47605702748129247,18,4.048070628693836,355,0,module_232
471,9,21,2,0,5,0,3,16,51,0.2662616654918579,0.4141723725973876,16,3.3288306105688563,332,0,module_233
517,8,20,3,0,11,3,3,17,52,0.23865005749024482,0.5362356625851216,28,8.59341994482927,354,0,module_234
514,13,21,5,3,11,5,3,15,45,0.1469451263600741,0.5024960936084371,19,7.638745792752609,347,1,module_235
472,9,21,3,2,12,2,5,16,42,0.08089240839150601,0.7207715739844645,15,8.960916581830524,395,1,module_236
490,13,20,4,2,7,4,3,8,44,0.004035458791414481,0.9975220100934992,17,6.303281483906827,398,1,module_237
493,11,16,3,0,7,1,1,14,60,0.15283543617593268,0.3367563388398979,21,4.919115228314506,367,1,module_238
535,12,17,6,1,10,4,5,17,42,0.14269085919278296,0.8449101793053253,23,3.4351113527716333,377,1,module_239
501,13,20,5,0,5,3,4,17,47,0.10327376984107196,0.38959434708454055,14,6.247979509809247,371,1,module_240
493,17,17,5,1,12,5,3,10,44,0.1734218363917455,0.31388451724255095,20,6.562223004125378,338,1,module_241
499,8,26,4,0,10,5,3,25,44,0.21864440921438197,0.7470037740809863,26,4.5365280736767986,340,1,module_242
497,8,24,4,2,15,0,5,21,50,0.21026647086847275,0.9113206602085571,24,9.42935879644651,366,0,module_243
499,13,14,6,3,8,1,7,16,46,0.07897585253526464,0.4234089546538767,16,6.7595912951456425,371,1,module_244
